1,2,2
1,2,3
2,3,4
2,3,6
2,7,7
2,9,7
3,11,8
3,12,8
3,13,8
4,15,9
4,24,13
4,27,14
5,27,14
5,28,15
6,28,16
7,28,17
7,29,17
8,30,17
8,36,18
8,37,18
9,38,19
9,39,19
11,39,20
12,42,20
14,42,20
14,44,21
14,45,21
15,48,22
15,51,22
15,52,23
15,52,24
18,52,24
18,53,24
21,54,24
21,59,24
21,60,25
22,62,25
22,62,25
23,62,25
24,63,26
24,66,27
26,68,27
28,69,27
29,70,28
30,71,30
33,75,30
33,81,30
33,82,32
34,84,32
34,86,32
35,87,33
35,90,33
35,90,33
35,90,33
36,92,33
37,93,33
38,96,35
39,96,35
40,96,36
41,96,36
41,97,37
42,98,38
44,99,38
44,99,39
44,101,41
45,103,42
47,103,43
47,104,44
47,108,45
48,112,46
48,113,46
49,113,46
50,113,47
51,113,48
51,113,48
52,116,48
53,116,48
53,118,48
53,121,49
54,121,49
54,123,50
55,124,51
58,124,51
59,126,53
60,128,54
60,128,54
60,129,54
60,129,54
60,129,57
61,129,58
62,130,58
62,130,58
62,130,58
62,131,59
62,132,60
62,134,60
63,137,61
63,137,61
64,139,62
64,140,63
65,143,63
65,144,63
71,144,64
71,145,64
72,147,65
72,147,66
72,147,66
73,148,66
73,148,67
74,151,67
75,151,67
75,152,68
76,155,69
78,159,72
78,160,75
78,160,76
80,160,76
80,160,80
81,160,80
81,161,82
82,164,84
83,165,85
84,168,86
85,170,86
86,171,86
87,172,86
87,172,87
88,178,87
88,179,87
88,180,89
88,183,90
88,184,92
89,184,92
89,185,93
89,185,93
89,186,93
90,187,93
90,187,95
90,187,95
91,187,97
91,190,97
92,190,97
92,190,98
93,195,98
93,197,99
95,198,99
99,198,99
99,198,99
100,199,99
100,200,100
